"","date","series","value","frequency","series_type","units","source","pub_date","series_id","description","table_title"
"111",1950-03-31,"Qrtrlyinfltn–evi",2.4,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"112",1950-06-30,"Qrtrlyinfltn–evi",2.4,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"113",1950-09-30,"Qrtrlyinfltn–evi",2.3,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"114",1950-12-31,"Qrtrlyinfltn–evi",4.5,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"115",1951-03-31,"Qrtrlyinfltn–evi",4.3,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"116",1951-06-30,"Qrtrlyinfltn–evi",6.3,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"117",1951-09-30,"Qrtrlyinfltn–evi",3.9,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"118",1951-12-31,"Qrtrlyinfltn–evi",7.5,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"119",1952-03-31,"Qrtrlyinfltn–evi",3.5,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"120",1952-06-30,"Qrtrlyinfltn–evi",3.4,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"121",1952-09-30,"Qrtrlyinfltn–evi",1.6,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"122",1952-12-31,"Qrtrlyinfltn–evi",1.6,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"123",1953-03-31,"Qrtrlyinfltn–evi",0,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
